Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Daily meals frequency,Physical exercise,Carbs,Proteins,Fats,Calories,meal_name,meal_type,diet_type,sugar_g,sodium_mg,cholesterol_mg,serving_size_g,cooking_method,prep_time_min,cook_time_min,rating,Name of Exercise,Sets,Reps,Benefit,Burns Calories (per 30 min),Target Muscle Group,Equipment Needed,Difficulty Level,Body Part,Type of Muscle,Workout,BMI_calc,cal_from_macros,pct_carbs,protein_per_kg,pct_HRR,pct_maxHR,cal_balance,lean_mass_kg,expected_burn,Burns Calories (per 30 min)_bc,Burns_Calories_Bin
37.35,Female,88.65,1.79,182.36,137.78,67.81,1.74,2490.11,HIIT,29.59749049937583,3.47,5.04,3.01,27.67,3.01,4.0,428.87,171.53,113.84,2621.0,Boiled Balanced Lunch,Lunch,Balanced,42.99,891.54,16.44,309.1,Boiled,28.96,42.46,1.1,Russian Twists,3.99,21.86,Combines lower body and upper body strength,373.65,"Chest, Triceps",Kettlebell,Beginner,Abs,Middle,Pull-ups,27.66767579039356,3426.16,0.5007004926798515,1.934912577552172,0.6108249672632038,0.7555384952840535,130.88999999999987,62.411824672303325,1300.302,1.4755428117472246e+20,Very High
21.24,Female,80.78,1.9,193.85,137.76,55.01,1.8,2575.98,HIIT,22.6918319466272,3.5,4.01,3.01,22.38,3.01,-0.01,162.37,63.98,42.89,2174.0,Baked Paleo Breakfast,Breakfast,Paleo,38.15,926.5,217.13,211.58,Baked,38.32,9.49,4.12,Russian Twists,5.01,17.95,Targets lower abs,355.67,"Upper Back, Rear Deltoids",None or Dumbbells,Beginner,Forearms,Middle,Military press,22.37673130193906,1291.41,0.5029231615056412,0.7920277296360485,0.5960097954479977,0.710652566417333,-401.98,62.44953815351455,1280.412,9.86244052129226e+19,High
25.76,Female,70.53,1.5,182.39,142.14,53.94,1.15,1011.08,Cardio,30.919318997894145,2.6,1.97,1.0,31.35,3.0,-0.04,217.65,85.89,58.01,1839.0,Fried Paleo Snack,Snack,Paleo,4.67,2179.93,116.05,240.22,Fried,37.85,112.78,4.85,Seated Rows,5.01,21.05,Strengthens lower abs,368.91,"Back, Core, Shoulders",Cable Machine or Resistance Band,Intermediate,Legs,Upper,Pull-ups,31.346666666666668,1736.25,0.5014254859611231,1.2177796682262867,0.6866485013623977,0.7793190416141236,827.92,48.72260431078526,848.4929999999999,1.3293965745308955e+20,Very High
40.09,Male,54.73,1.61,183.75,157.78,64.12,1.55,1209.0,Yoga,22.609754391390187,2.71,3.98,3.0,21.11,2.0,0.02,274.39,109.75,73.35,1549.0,Steamed Balanced Lunch,Lunch,Balanced,31.52,1792.05,43.21,315.25,Steamed,52.11,112.34,2.86,Calf Raises,4.99,18.01,Improves balance and leg strength,333.31,"Rear Deltoids, Upper Back",Kettlebell,Beginner,Chest,Triceps,Dumbbell rows,21.11415454650669,2196.71,0.4996380951513854,2.005298739265485,0.7829139847864248,0.8586666666666667,340.0,42.35568142159215,1033.261,5.803060592533536e+19,Low
32.59,Male,52.75,1.66,190.86,128.92,71.91,1.26,1248.53,Strength,23.56556909365815,2.49,2.96,1.01,19.14,3.01,0.0,247.09,98.22,66.16,1446.0,Baked Vegetarian Dinner,Dinner,Vegetarian,2.48,107.0,201.6,143.15,Baked,9.95,42.06,4.78,Reverse Lunges,4.0,24.13,Targets obliques and improves core rotation,350.36,Lower Abs,Step or Box,Advanced,Back,Quads,Dumbbell rows,19.142836405864426,1976.68,0.5000101179755955,1.8619905213270145,0.4792770071458594,0.6754689301058366,197.47000000000003,40.319162303095325,882.9072,8.722111215022268e+19,High
52.62,Female,84.36,1.76,164.87,137.25,69.2,1.68,1308.38,Yoga,26.90164503779492,3.5,5.01,2.98,27.23,1.99,0.02,251.88,100.12,66.98,2285.0,Grilled Paleo Breakfast,Breakfast,Paleo,8.63,1561.45,81.35,146.05,Grilled,10.45,87.04,4.32,Russian Twists,4.01,22.96,Improves flexibility,351.92,Calves,Box or Platform,Beginner,Back,Posterior,Crunches,27.233987603305785,2010.82,0.5010493231616951,1.1868183973447133,0.7112992578655796,0.832474070479772,976.62,61.665772246116205,1182.4512,9.04444714158298e+19,High
52.03,Female,59.98,1.71,169.37,151.06,58.16,1.24,1499.04,HIIT,21.92316157235524,2.02,2.97,1.0,20.51,2.04,-0.02,178.89,72.16,48.06,1648.0,Steamed Vegan Lunch,Lunch,Vegan,28.52,1033.56,161.98,423.53,Steamed,50.01,116.84,3.49,Plyo Squats,3.0,11.85,Improves posture and strengthens upper back,199.88,"Core, Shoulders, Hips",Resistance Band or Cable Machine,Advanced,Shoulders,Posterior,Decline dumbbell flyes,20.51229438117712,1436.74,0.49804418335955,1.2030676892297432,0.8353565326859095,0.8918934876306311,148.96000000000004,46.83048768890132,495.7024,8.944440180628534e+17,Low
30.75,Female,76.83,1.62,174.06,127.01,73.99,1.39,999.97,Yoga,28.97544940228808,2.29,3.97,1.99,29.28,1.99,1.99,312.47,125.01,83.31,2268.0,Steamed Balanced Dinner,Dinner,Balanced,42.56,1154.1,83.18,467.17,Steamed,18.18,28.11,2.27,Wall Angels,4.0,17.11,Strengthens lower abs,345.11,"Shoulders, Upper Back",Box or Platform,Advanced,Chest,Lower Chest,Barbell curls,29.27526291723822,2499.71,0.5000100011601346,1.627098789535338,0.5298291196162687,0.7296909111800529,1268.03,54.56816222422206,959.4058,7.710153036907836e+19,Medium
29.01,Male,58.43,1.61,197.67,121.65,72.05,1.2,1296.0,Strength,27.545948725226136,2.01,2.99,2.0,22.54,1.99,-0.01,220.02,87.44,58.56,1771.0,Baked Balanced Lunch,Lunch,Balanced,9.75,312.81,4.53,433.09,Baked,51.03,26.98,2.89,Mountain Climbers,4.0,16.03,Improves balance and coordination,350.76,"Core, Lower Back",Pull-up Bar,Advanced,Shoulders,Quads,Dumbbell curls,22.54156861232205,1756.88,0.5009334729748189,1.4964915283244908,0.3948415857347557,0.615419638791926,475.0,42.33490215985037,841.824,8.803784642430412e+19,High
38.16,Female,44.9,1.68,193.25,143.88,57.92,1.01,1092.62,Strength,20.66838612087244,2.42,2.98,2.02,15.91,3.0,0.02,282.8,113.61,75.84,1242.0,Fried Vegan Breakfast,Breakfast,Vegan,12.42,1212.06,4.43,343.83,Fried,57.72,117.79,3.2,Tricep Extensions,3.98,17.95,Improves core stability and balance,338.1,"Triceps, Chest",Low Bar or TRX,Beginner,Legs,Posterior,Chest flyes,15.908446712018142,2268.2000000000003,0.4987214531346441,2.530289532293987,0.6351880588191827,0.7445278137128072,149.3800000000001,35.61989463172827,682.9620000000001,6.520318021230184e+19,Medium
26.92,Male,87.68,1.63,182.88,135.14,73.97,1.75,2052.22,Strength,29.90042295012659,3.5,4.99,3.03,33.0,4.01,3.99,410.38,163.87,109.15,2558.0,Boiled Balanced Dinner,Dinner,Balanced,7.53,1514.17,99.7,108.68,Boiled,13.91,21.75,3.57,Step-ups,3.99,23.18,Improves hip power and cardiovascular fitness,372.07,"Chest, Triceps, Shoulders",None or Dumbbell,Advanced,Shoulders,Lats,Leg raises,33.00086567051828,3279.35,0.5005626114931313,1.8689552919708028,0.5616564135524744,0.7389545056867891,505.7800000000002,61.46330915732901,1302.245,1.4253342479682047e+20,Very High
58.04,Female,109.54,1.91,197.5,156.16,55.87,1.48,1065.6,Yoga,30.72971438912612,2.22,3.02,2.0,30.03,3.01,-0.0,306.96,122.84,81.67,2956.0,Steamed Vegan Dinner,Dinner,Vegan,15.4,109.15,31.29,392.99,Steamed,7.55,62.15,1.9,Decline Push-ups,4.98,15.91,Improves unilateral leg strength and balance,357.61,"Upper Chest, Triceps",Pull-up Bar,Advanced,Back,Wrist Extensors,Leg curls,30.026589183410547,2454.23,0.5002954083358121,1.1214168340332298,0.7081126879898326,0.7906835443037975,1890.4,75.87867085815125,1058.5256,1.0310565329637687e+20,High
50.13,Female,70.32,1.68,186.97,161.25,70.19,1.16,1147.36,Strength,29.252529769449342,2.51,1.98,1.0,24.91,3.0,0.02,298.86,119.65,80.16,1861.0,Baked Balanced Snack,Snack,Balanced,20.54,927.21,7.93,327.28,Baked,46.14,62.35,1.37,Prone Cobras,2.99,11.87,Targets lower chest,259.05,"Upper Chest, Triceps",None or Dumbbells,Intermediate,Chest,Posterior,Triceps dips,24.91496598639456,2395.48,0.4990398583999866,1.7015073947667807,0.7797568076725466,0.8624378242498797,713.6400000000001,49.74962106612322,600.996,7.41320319230946e+18,Low
18.77,Male,60.51,1.59,183.97,127.79,53.03,1.15,1012.92,Cardio,27.30236727987143,2.21,2.04,1.01,23.93,1.99,-0.05,201.97,81.36,54.63,1615.0,Steamed Balanced Snack,Snack,Balanced,37.38,1822.76,267.53,491.62,Steamed,40.1,109.75,2.0,Shoulder Press,2.99,8.11,Targets biceps and forearms,249.64,Calves,Cable Machine,Advanced,Chest,Anterior,Concentration curls,23.93497092678296,1624.99,0.4971599825229694,1.3445711452652451,0.5709485260424623,0.6946241234983965,602.08,43.98933755894979,574.1719999999999,5.481329790836477e+18,Low
28.33,Female,69.13,1.58,181.99,134.58,49.9,1.49,1073.69,Yoga,28.50902646757633,2.0,2.98,2.01,27.69,3.0,1.01,254.78,101.9,68.03,1995.0,Grilled Vegan Breakfast,Breakfast,Vegan,2.95,1377.13,153.72,205.51,Grilled,35.01,22.14,4.72,Push-ups,5.0,24.0,Builds explosive power,335.25,"Lower Abs, Hip Flexors",Dumbbells,Beginner,Abs,Middle,Dumbbell flyes,27.691876301874693,2038.99,0.4998160854148377,1.4740344278894837,0.6410780528427588,0.7394911808341118,921.31,49.42171000296448,999.045,6.084742341222583e+19,Low
31.96,Male,97.49,1.96,188.46,137.25,49.93,1.36,1467.58,Strength,26.502290685568045,3.4,3.01,1.99,25.38,3.0,0.98,276.79,109.74,73.73,2502.0,Boiled Keto Snack,Snack,Keto,12.48,158.78,216.12,401.47,Boiled,7.09,5.58,4.41,Squats,5.01,18.99,Improves cardiovascular fitness,371.13,"Shoulders, Upper Back",Bench or Chair,Beginner,Abs,Lats,Decline dumbbell press,25.3774468971262,2209.69,0.5010476582688069,1.1256539132218688,0.63033277990327,0.7282712511938872,1034.42,71.65291681063971,1009.4736,1.3961804453535234e+20,Very High
38.76,Male,85.97,1.82,191.07,160.06,72.1,1.96,2807.11,HIIT,28.148384968178654,3.5,5.03,3.02,25.95,3.0,3.0,250.06,99.54,66.37,2466.0,Raw Keto Lunch,Lunch,Keto,31.49,967.13,195.57,416.48,Raw,58.1,33.96,3.8,Box Jumps,4.99,16.07,Strengthens lower abs and hip flexors,340.61,"Full Body, Core, Shoulders",Bench or Step,Intermediate,Abs,Upper,Plate pinch,25.953991063881173,1995.73,0.5011900407369735,1.1578457601488892,0.7393460536269648,0.8377034594651175,-341.1100000000001,61.77083344285681,1335.1912,6.926358736374583e+19,Medium
36.52,Male,56.0,1.57,182.37,123.02,52.99,0.97,961.17,Strength,28.373558365381864,2.42,2.02,1.01,22.72,2.01,1.0,208.63,83.47,54.99,1433.0,Roasted Low-Carb Breakfast,Breakfast,Low-Carb,20.37,2001.7,222.22,239.06,Roasted,8.77,23.0,2.2,Rows,4.01,25.05,Improves posture and back strength,340.72,"Upper Back, Rear Deltoids",None or Dumbbells,Advanced,Chest,Middle,Wrist extension,22.7189744005842,1663.3100000000002,0.501722469052672,1.4905357142857143,0.541273767197403,0.6745627021988265,471.83,40.11080731538616,660.9968,6.944649974571399e+19,Medium
52.85,Male,47.69,1.76,163.96,149.27,74.17,1.06,1399.2,HIIT,19.119865654275376,1.5,3.99,2.0,15.4,4.01,0.01,295.15,118.76,79.09,1410.0,Raw Vegan Snack,Snack,Vegan,30.5,1682.65,149.42,273.04,Raw,51.66,118.42,3.69,Kettlebell Swings,5.02,17.11,Improves lower back strength,344.91,"Chest, Triceps, Shoulders",Bench or Chair,Beginner,Back,Grip Strength,Lateral raises,15.395790289256198,2367.45,0.4986800143614437,2.4902495282029777,0.8363960351932287,0.9104049768236157,10.799999999999956,38.57173606947608,731.2092000000001,7.673732219072645e+19,Medium
18.0,Female,62.43,1.59,190.02,161.38,50.38,1.23,1180.8,Cardio,26.635811730396675,2.18,4.01,2.0,24.69,3.01,-0.0,217.52,86.76,58.54,1857.0,Baked Keto Lunch,Lunch,Keto,15.12,1253.85,212.37,295.27,Baked,53.46,106.89,2.16,Kettlebell Swings,5.0,17.97,Builds calf muscles,341.52,"Chest, Triceps",Resistance Band or Cable Machine,Beginner,Shoulders,Wrist Extensors,Preacher curls,24.69443455559511,1743.98,0.4989048039541738,1.3897164824603556,0.794901174448582,0.8492790232607094,676.2,45.80126273671336,840.1392,7.0789577991987536e+19,Medium
36.85,Male,76.15,1.82,191.78,120.66,50.15,1.49,1431.59,Cardio,26.70870756569342,2.8,3.98,2.01,22.99,3.02,0.03,190.36,76.31,50.8,1891.0,Grilled Vegan Snack,Snack,Vegan,2.45,2418.4,109.9,331.8,Grilled,39.98,60.13,2.42,Seated Rows,4.02,18.95,Strengthens triceps and chest,343.73,"Quadriceps, Hamstrings, Glutes",Barbell,Beginner,Abs,Wrist Extensors,Triceps dips,22.98937326409854,1523.88,0.4996718901750794,1.0021011162179907,0.4978465014474334,0.6291584106789029,459.4100000000001,55.81131918872447,1024.3154,7.461907692645315e+19,Medium
18.8,Female,127.92,1.92,184.44,168.17,69.96,1.26,1211.62,Cardio,32.137482441866815,3.0,3.99,2.02,34.7,2.99,0.0,233.71,93.24,61.85,3376.0,Steamed Paleo Breakfast,Breakfast,Paleo,17.72,2486.74,265.81,211.02,Steamed,40.98,19.66,1.81,Calf Raises,4.01,16.91,Builds explosive power,342.75,Core,Pull-up Bar,Beginner,Abs,Quads,Barbell curls,34.700520833333336,1864.45,0.5014025583952373,0.7288930581613507,0.8578791055206149,0.9117870310127956,2164.38,86.80973246036397,863.73,7.2899055427281535e+19,Medium
24.11,Male,58.82,1.76,189.09,129.86,72.93,0.63,415.42,Yoga,23.042199944788766,1.69,3.04,1.0,18.99,2.99,4.0,296.4,119.17,79.57,1760.0,Roasted Vegetarian Snack,Snack,Vegetarian,6.13,899.07,125.65,396.65,Roasted,58.11,95.88,4.02,Calf Raises,5.0,21.06,Improves balance and coordination,339.54,"Upper Back, Rear Deltoids",Bench or Chair,Advanced,Abs,Lateral,Concentration curls,18.98889462809917,2378.41,0.4984842815158025,2.0260115606936417,0.4900998622589532,0.6867629171294093,1344.58,45.26657799247525,427.8204,6.750629534629783e+19,Medium
41.04,Female,82.17,1.66,176.8,138.34,74.12,1.98,2060.78,Cardio,30.284776579530742,3.5,4.99,3.01,29.82,3.99,2.02,265.42,106.58,71.22,2327.0,Roasted Vegan Snack,Snack,Vegan,45.23,591.33,78.78,222.77,Roasted,27.89,5.72,3.1,Dragon Flags,4.01,14.98,Builds explosive upper body power,346.59,"Upper Back, Rear Deltoids",Resistance Band or Cable Machine,Beginner,Shoulders,Wrist Flexors,Leg curls,29.81927710843373,2128.98,0.4986801191180753,1.2970670561032007,0.6254382547721075,0.7824660633484163,266.2199999999998,57.28499908459958,1372.4964,7.98441716232852e+19,Medium
28.23,Male,79.51,1.59,180.81,130.24,54.05,1.48,1950.34,HIIT,32.375722484306486,1.51,3.02,1.98,31.45,1.98,0.06,207.92,83.89,56.62,2204.0,Raw Paleo Lunch,Lunch,Paleo,17.69,163.98,175.8,289.93,Raw,10.4,95.71,1.51,Dead Bugs,5.0,16.05,Builds calf muscles,359.58,"Core, Shoulders, Legs",Parallel Bars or Chair,Intermediate,Legs,Anterior,Triceps dips,31.45049642023654,1676.82,0.4959864505432902,1.0550874103886303,0.6010571158094037,0.7203141419169294,253.66000000000008,53.76806305272791,1064.3568,1.0783815397003724e+20,High
53.32,Female,55.68,1.55,170.93,140.91,53.96,1.13,814.28,Yoga,23.802880356141856,1.8,3.98,2.01,23.18,2.02,0.0,218.11,86.97,57.62,1686.0,Boiled Vegetarian Snack,Snack,Vegetarian,39.62,1265.94,117.13,208.38,Boiled,39.11,9.17,1.67,Glute Bridges,5.0,23.99,Targets upper chest,331.29,"Core, Obliques",Bench or Step,Advanced,Arms,Lower Chest,Plate pinch,23.175858480749216,1738.9,0.5017194778308126,1.5619612068965516,0.7433529964948277,0.8243725501667348,871.72,42.42655621770022,748.7153999999999,5.5219924935451935e+19,Low
43.07,Male,66.62,1.85,169.95,121.09,58.27,1.18,1038.4,Cardio,20.625549461389365,3.2,1.98,1.0,19.47,2.99,1.01,294.52,116.97,78.33,1625.0,Grilled Paleo Dinner,Dinner,Paleo,18.37,2220.22,103.57,440.52,Grilled,11.29,69.08,1.42,Calf Raises,5.01,23.97,Targets upper chest,368.93,"Lower Back, Glutes",Resistance Band or Cable Machine,Intermediate,Shoulders,Grip Strength,Incline cable crossovers,19.46530314097881,2350.9300000000003,0.5011123257604436,1.755779045331732,0.5625000000000001,0.7125036775522213,586.5999999999999,52.8792589488224,870.6748,1.3299854805945549e+20,Very High
26.92,Male,103.9,1.68,162.06,134.87,61.98,1.29,1239.43,Cardio,34.33074085871076,3.48,3.03,2.01,36.81,4.01,2.02,303.62,121.46,81.55,2877.0,Fried Balanced Snack,Snack,Balanced,46.8,873.33,259.53,299.74,Fried,17.03,22.53,2.17,Inverted Rows,3.98,15.07,Improves shoulder health and posture,351.72,"Quadriceps, Calves, Glutes",Barbell,Intermediate,Forearms,Posterior,Hammer curl,36.812641723356016,2434.27,0.4989093239451663,1.1690086621751683,0.7283173461231016,0.8322226335924966,1637.57,68.23036024779952,907.4376,9.002546178546839e+19,High
41.29,Male,43.56,1.77,181.94,165.14,58.1,1.2,792.72,Yoga,18.550935162257385,1.6,3.01,1.01,13.9,2.0,0.01,275.13,111.49,74.23,1264.0,Roasted Keto Snack,Snack,Keto,47.45,334.13,293.4,465.82,Roasted,16.11,80.32,1.8,Plyo Squats,2.99,12.03,Builds back strength,164.77,"Upper Chest, Triceps",Step or Box,Advanced,Shoulders,Lower,Bicep Curls,13.904050560183856,2214.55,0.4969497189045178,2.5594582185491275,0.8643410852713177,0.9076618665494118,471.28,35.479212643320686,395.448,1.854021851618852e+17,Low
19.32,Male,73.18,1.79,177.33,124.77,60.96,0.82,541.2,Yoga,21.10685278795888,1.62,2.98,1.0,22.84,3.0,-0.03,218.96,88.29,58.24,2062.0,Boiled Vegetarian Breakfast,Breakfast,Vegetarian,5.17,1170.78,248.88,364.25,Boiled,11.84,43.9,1.14,Bicycle Crunches,4.01,24.97,Targets lower abs,332.18,"Core, Lower Back",Low Bar or TRX,Advanced,Abs,Triceps,Concentration curls,22.83948690739989,1753.16,0.499577905040042,1.206477179557256,0.5483372003093581,0.7036034511926915,1520.8,57.7340051297717,544.7751999999999,5.6443209041840775e+19,Low
30.0,Male,51.78,1.74,174.2,150.11,64.2,1.09,784.8,Yoga,24.925648637912527,2.0,3.0,2.0,17.1,2.98,0.05,237.92,94.96,62.69,1524.0,Baked Balanced Breakfast,Breakfast,Balanced,7.87,2292.03,38.56,496.8,Baked,35.78,104.36,1.67,Thrusters,4.98,15.99,Targets obliques and improves core rotation,332.85,"Legs, Shoulders, Core",Pull-up Bar,Intermediate,Chest,Upper,Bird dog,17.10265556876734,1895.73,0.5020124173801122,1.8339127076091155,0.7810000000000002,0.8617106773823193,739.2,38.873499135288895,725.613,5.737974127854371e+19,Low
51.69,Female,70.91,1.72,193.87,143.13,65.98,1.31,1732.08,HIIT,27.330750246929725,2.61,3.0,2.02,23.97,2.99,0.02,231.65,92.08,61.08,1946.0,Raw Keto Dinner,Dinner,Keto,18.94,289.93,234.47,152.4,Raw,22.77,94.62,1.32,Russian Twists,5.0,18.95,Enhances full-body coordination and stability,335.2,"Shoulders, Triceps",None or Dumbbell,Beginner,Arms,Lower Chest,Barbell hip thrusts,23.969037317468903,1844.64,0.5023202359267933,1.298547454519814,0.6032527953710219,0.7382782276783412,213.92000000000007,51.52976499990213,878.224,6.077334514612436e+19,Low
21.87,Female,51.25,1.59,196.92,139.06,66.12,1.28,1382.4,Strength,24.917111505699467,1.8,3.07,2.0,20.27,3.0,-0.01,201.46,79.89,53.95,1252.0,Boiled Paleo Lunch,Lunch,Paleo,37.21,1836.59,17.25,304.0,Boiled,43.33,15.17,3.24,Pull-ups,5.0,21.98,Targets lower abs,331.62,"Back, Core, Shoulders",Bench or Chair,Beginner,Shoulders,Quads,Leg curls,20.272141133657687,1610.95,0.5002265743815761,1.558829268292683,0.557645259938838,0.7061750964858826,-130.4000000000001,38.47998035332903,848.9472000000001,5.567075917535405e+19,Low
45.59,Male,48.5,1.64,167.88,159.47,67.08,1.25,1352.25,Strength,26.83565657002728,2.48,4.01,2.02,18.03,3.0,-0.02,219.37,87.46,58.36,1372.0,Grilled Low-Carb Snack,Snack,Low-Carb,25.53,2341.19,54.08,370.22,Grilled,8.55,21.18,2.48,Flutter Kicks,5.0,24.9,Improves core stability and balance,348.02,"Shoulders, Upper Back",Cable Machine,Beginner,Arms,Lateral,Hammer curls,18.03242117787032,1752.56,0.500684712648925,1.8032989690721648,0.9165674603174604,0.9499046938289254,19.75,35.48470656353677,870.05,8.257514073956108e+19,Medium
25.05,Female,64.4,1.71,179.0,167.15,60.91,1.12,1355.2,HIIT,21.370673578146025,1.79,3.0,1.0,22.02,3.0,-0.04,208.82,82.8,55.86,1688.0,Baked Paleo Lunch,Lunch,Paleo,7.31,1430.32,110.17,208.07,Baked,57.05,71.78,3.2,Shoulder Press,5.0,14.95,Targets biceps and forearms,340.71,"Triceps, Chest",Dumbbells,Intermediate,Legs,Upper,Leg raises,22.023870592660995,1669.22,0.5004013850780604,1.2857142857142856,0.8996528071809637,0.9337988826815644,332.79999999999995,50.63728621567396,763.1904000000001,6.942985384209818e+19,Medium
54.23,Female,50.32,1.61,187.99,156.71,66.74,1.49,1806.18,HIIT,24.75825434838593,2.69,1.98,1.02,19.41,2.0,0.99,312.49,124.84,83.15,1231.0,Boiled Low-Carb Breakfast,Breakfast,Low-Carb,26.3,1202.2,159.34,457.51,Boiled,13.68,64.02,1.52,Bulgarian Split Squats,3.0,9.9,Improves core stability and balance,289.17,"Shoulders, Triceps",Bench or Step,Advanced,Forearms,Wrist Flexors,Cable crossovers,19.41283129508892,2497.67,0.5004504197912455,2.4809220985691574,0.7420206185567011,0.8336081706473749,-575.1800000000001,37.8616464118922,861.7266000000001,1.8192583243998872e+19,Low
36.43,Male,69.06,1.65,165.01,126.3,65.04,1.23,810.32,Yoga,26.6521134151114,2.71,2.99,1.0,25.37,2.01,0.02,256.16,101.94,68.39,1920.0,Steamed Vegan Snack,Snack,Vegan,10.49,110.61,36.86,446.8,Steamed,51.43,36.53,1.57,Lat Pulldowns,4.01,14.86,Builds explosive power,341.94,"Upper Chest, Triceps",Dumbbells,Advanced,Chest,Lateral,Decline cable crossovers,25.366391184573008,2047.91,0.5003344873554014,1.476107732406603,0.6127838351505451,0.765408157081389,1109.6799999999998,50.65405047552407,841.1724,7.150378042007159e+19,Medium
47.62,Male,68.77,1.74,160.09,167.14,58.16,1.48,1597.07,Strength,21.510634310436764,2.31,2.98,1.99,22.71,3.02,4.02,308.94,122.86,82.31,1807.0,Steamed Vegetarian Lunch,Lunch,Vegetarian,48.61,1481.7,207.27,254.27,Steamed,43.6,93.8,3.77,Russian Twists,4.0,17.1,Builds upper body strength,361.66,"Core, Obliques",None or Dumbbell,Advanced,Chest,Wrist Flexors,Leg raises,22.71436121019949,2467.99,0.5007151568685448,1.7865348262323688,1.0691651133130575,1.0440377287775626,209.9300000000001,53.97713678471264,1070.5136,1.130408604468042e+20,Very High
37.42,Male,102.84,1.89,175.12,167.81,56.74,0.54,356.08,Yoga,30.99245737603172,3.08,1.96,1.0,28.79,1.98,1.01,285.22,114.39,76.12,2633.0,Roasted Vegetarian Dinner,Dinner,Vegetarian,27.64,410.25,0.76,207.58,Roasted,38.16,102.82,4.59,Step-ups,4.99,18.0,Improves cardiovascular fitness,365.45,Quadriceps,Dumbbells,Beginner,Legs,Lateral,Leg raises,28.78978751994625,2283.52,0.4996146300448431,1.1123103850641771,0.9382497043419497,0.9582571950662404,2276.92,70.967356834489,394.686,1.2308962960892428e+20,Very High
32.14,Female,49.31,1.62,167.05,158.16,74.06,1.18,1556.3,HIIT,19.86285138369088,2.5,3.0,1.99,18.79,3.02,-0.01,247.43,99.43,66.25,1346.0,Boiled Vegan Breakfast,Breakfast,Vegan,25.22,302.42,60.58,386.82,Boiled,35.84,85.38,4.89,Superman,5.0,22.09,Builds unilateral leg strength,330.85,"Glutes, Hamstrings, Core",Cable Machine,Intermediate,Abs,Posterior,Pull-ups,18.78905654625819,1983.69,0.498928764070999,2.01642668829852,0.904398322400258,0.9467824004788984,-210.29999999999995,39.51562798270203,780.806,5.462380011810222e+19,Low
30.09,Male,61.25,1.55,172.15,120.14,52.21,1.3,1405.17,Strength,27.795914840801764,1.62,2.99,2.01,25.49,2.99,-0.01,197.25,79.67,52.71,1620.0,Raw Vegan Breakfast,Breakfast,Vegan,44.27,1611.08,220.14,467.87,Raw,8.14,71.67,4.61,Resistance Band Pull-Aparts,4.0,24.9,Improves balance and leg strength,362.51,"Legs, Shoulders, Core",Pull-up Bar,Beginner,Forearms,Grip Strength,Fat grip dumbbell curl,25.4942767950052,1582.0700000000002,0.4987137105184979,1.300734693877551,0.5663665165916292,0.6978797560267208,214.83,44.22500216000891,942.526,1.1522958092628622e+20,Very High
55.87,Female,58.91,1.56,181.73,155.5,57.19,1.26,1665.97,HIIT,24.30438665383292,2.62,3.99,2.02,24.21,3.01,-0.01,302.69,122.1,80.96,1689.0,Steamed Vegetarian Breakfast,Breakfast,Vegetarian,9.46,1471.0,113.25,339.06,Steamed,56.43,21.2,1.69,Dragon Flags,3.0,10.1,Builds back strength,175.21,"Legs, Core",Bench or Step,Beginner,Shoulders,Lower Chest,Face pulls,24.20693622616699,2427.8,0.4987066479940688,2.0726531997963,0.789384936566565,0.8556649975237991,23.029999999999973,44.59228582222703,441.5292,3.057708373992923e+17,Low
